Topic,Count,Name,Representation,Representative_Docs
-1,105755,-1_putin_world_nato_war,"['putin', 'world', 'nato', 'war', 'grain', 'usa', 'amp', 'russia', 'india', 'ukraine']","['STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia qwdas', ', STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia', 'STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL!!. #StopPutin #StopRussia']"
0,3496,0_plant_nuclear plant_zaporizhzhia_nuclear,"['plant', 'nuclear plant', 'zaporizhzhia', 'nuclear', 'power plant', 'nuclear power', 'zaporizhzhia nuclear', 'watchdog', 'iaea', 'nuclear watchdog']","['The IAEA, the United Nations\' nuclear watchdog, announced on Thursday that they are ""very, very close"" to being to go to the Russian-held #Zaporizhzhia nuclear power plant in Ukraine. #ZaporizhzhiaNPP #Ukraine #Russia #IAEA #UN #CGTNAmerica', 'UN nuclear watchdog chief Rafael Grossi appealed for a protection zone around the Russian-held Zaporizhzhia nuclear power plant in #Ukraine after another outage there, saying he was ""astonished by the complacency"" around the issue', ""United Nations nuclear watchdog, International Atomic Energy Agency #IAEA has called for an immediate end to any military action near #Ukraine's nuclear plant, warning of a very real risk of a nuclear disaster""]"
1,3181,1_zelensky_zelenskyy_zelenskiy_volodymyr,"['zelensky', 'zelenskyy', 'zelenskiy', 'volodymyr', 'president volodymyr', 'president zelensky', 'ukraine president', 'ukraine zelensky', 'ukrainian president', 'president']","['Start with #Zelensky', '#BREAKING: Ukrainian President Volodymyr #Zelenskyy addresses the UN Security Council.', 'Ukrainian President Volodymyr Zelenskyy, at the UN, accuses Russian military of war crimes #Ukraine #Russia #Zelenskyy']"
2,3084,2_141_resolution_annexation_voted,"['141', 'resolution', 'annexation', 'voted', '143', 'general assembly', 'assembly', 'withdraw', 'adopted', 'overwhelmingly']","[""As Moscow's war ends its first year, the #UN demands #Russia withdraw from #Ukraine, with 141 votes in favor, 7 against (Russia, Belarus, North Korea, Eritrea, Mali, Nicaragua and Syria) and 32 abstentions, including China and India."", 'The UN General Assembly voted in favor of the resolution that demands that #Russia stop its attack on #Ukraine and withdraw its troops from the Ukrainian territory. 141 out of 193 member states voted for the resolution, while 35 abstained and five voted against.', 'The UN General Assembly voted in favor of a resolution calling on #Russia to immediately withdraw its troops from #Ukraine. There were 141 votes in favor, 7 against (Russia, Belarus, Syria, North Korea, Eritrea, Nicaragua, and Mali), and 32 abstentions.']"
3,2092,3_israel_palestine_gaza_palestinian,"['israel', 'palestine', 'gaza', 'palestinian', 'palestinians', 'israeli', 'gazaunderattack', 'israeliterrorism', 'freepalestine', 'israelicrimes']","['Hello every1, how r ur kids ? In #Gaza childrens r dying bvz of #IsraeliTerrorism Any idea where is #Gaza n #Palestine Act on #Israel #Palestine_Under_Attack #GazaUnderAttack', 'When Gaza is under attack from isr*el, nobody cares. Of course, Gaza is not Ukraine! Hypocrisy #Gaza #GazaUnderAttack #sundayvibes #INDvAUS #Israel #IsraeliTerrorism #Ukraine #UkraineUnderAttaсk', 'Where is UN??? #GazaUnderAttack']"
4,1970,4_russia human_rights council_suspended_suspend russia,"['russia human', 'rights council', 'suspended', 'suspend russia', 'suspend', 'human rights', 'russia suspended', 'suspends russia', 'suspends', 'rights']","['Russia Has Been Suspended From the UN Human Rights Council. #Russia', '#BREAKING: UN General Assembly voted to suspend #Russia’s UN Human Rights Council 👏🏿👏🏿', '#BREAKING: The UN has voted to suspend Russia from the Human Rights Council.']"
5,1254,5_biological_labs_biological weapons_biolabs,"['biological', 'labs', 'biological weapons', 'biolabs', 'pathogens', 'ukraine destroy', 'laboratories', 'biolabs ukraine', 'advised ukraine', 'bioweapons']","['Via Reuters: WHO says it advised Ukraine to destroy pathogens in health labs to prevent disease spread #biolabs #Ukraine', 'says it advised #Ukraine to destroy pathogens in health labs to prevent disease spread', '#Exclusive: #WHO says it advised #Ukraine to destroy #pathogens in health #biolabs labs to prevent disease spread']"
6,1229,6_council russiaisaterroriststate_member security_security council_seat,"['council russiaisaterroriststate', 'member security', 'security council', 'seat', 'permanent member', 'security', 'council', 'council russia', 'seat security', 'remove russia']","['Russia must be removed from the UN Security Council. #russiaisaterroriststate', 'ENOUGH! REMOVE RUSSIA FROM THE UN SECURITY COUNCIL NOW! #russiaisaterroriststate', '👇🏼Remove #Russia from the UN Security Council #RussiaIsATerroristState']"
7,1187,7_wef nato_nato nato_wef_nato,"['wef nato', 'nato nato', 'wef', 'nato', 'nato wef', 'eu nato', 'amp nato', 'usa nato', 'imf', 'nato amp']","['Again why hadn’t America gotten rid of all influence from #WEF #UN #NATO #WHO #IMF', ""#NATO 'Umbrella' organisation for [USAF] #UNNWO [United Nations - NWO] vis à vis its em-bedded overseas ground troops via European proxy collaborators! Both under the direct command of US Dept of Defence"", 'Get the US out of the #UN and #NATO']"
8,1177,8_bucha_buchamassacre_buchagenocide_bucha ukraine,"['bucha', 'buchamassacre', 'buchagenocide', 'bucha ukraine', 'civilians bucha', 'massacre', 'provocation', 'bucha massacre', 'bucha russia', 'investigation']","['Commenting on the genocide in Bucha, Russia\'s permanent representative to the United Nations said that ""corpses lying on the streets of Bucha did not exist until Russian troops arrived."" #BuchaMassacre Source:', '#UN calls for #BuchaMassacre investigation.', 'WHERE ARE YOU????? #BuchaMassacre']"
