topic,rank,doc
-1,1,STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia qwdas
-1,2,", STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! #StopPutin #StopRussia"
-1,3,STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL!!. #StopPutin #StopRussia
0,1,"The IAEA, the United Nations' nuclear watchdog, announced on Thursday that they are ""very, very close"" to being to go to the Russian-held #Zaporizhzhia nuclear power plant in Ukraine. #ZaporizhzhiaNPP #Ukraine #Russia #IAEA #UN #CGTNAmerica"
0,2,"UN nuclear watchdog chief Rafael Grossi appealed for a protection zone around the Russian-held Zaporizhzhia nuclear power plant in #Ukraine after another outage there, saying he was ""astonished by the complacency"" around the issue"
0,3,"United Nations nuclear watchdog, International Atomic Energy Agency #IAEA has called for an immediate end to any military action near #Ukraine's nuclear plant, warning of a very real risk of a nuclear disaster"
1,1,Start with #Zelensky
1,2,#BREAKING: Ukrainian President Volodymyr #Zelenskyy addresses the UN Security Council.
1,3,"Ukrainian President Volodymyr Zelenskyy, at the UN, accuses Russian military of war crimes #Ukraine #Russia #Zelenskyy"
2,1,"As Moscow's war ends its first year, the #UN demands #Russia withdraw from #Ukraine, with 141 votes in favor, 7 against (Russia, Belarus, North Korea, Eritrea, Mali, Nicaragua and Syria) and 32 abstentions, including China and India."
2,2,"The UN General Assembly voted in favor of the resolution that demands that #Russia stop its attack on #Ukraine and withdraw its troops from the Ukrainian territory. 141 out of 193 member states voted for the resolution, while 35 abstained and five voted against."
2,3,"The UN General Assembly voted in favor of a resolution calling on #Russia to immediately withdraw its troops from #Ukraine. There were 141 votes in favor, 7 against (Russia, Belarus, Syria, North Korea, Eritrea, Nicaragua, and Mali), and 32 abstentions."
3,1,"Hello every1, how r ur kids ? In #Gaza childrens r dying bvz of #IsraeliTerrorism Any idea where is #Gaza n #Palestine Act on #Israel #Palestine_Under_Attack #GazaUnderAttack"
3,2,"When Gaza is under attack from isr*el, nobody cares. Of course, Gaza is not Ukraine! Hypocrisy #Gaza #GazaUnderAttack #sundayvibes #INDvAUS #Israel #IsraeliTerrorism #Ukraine #UkraineUnderAttaсk"
3,3,Where is UN??? #GazaUnderAttack
4,1,Russia Has Been Suspended From the UN Human Rights Council. #Russia
4,2,#BREAKING: UN General Assembly voted to suspend #Russia’s UN Human Rights Council 👏🏿👏🏿
4,3,#BREAKING: The UN has voted to suspend Russia from the Human Rights Council.
5,1,Via Reuters: WHO says it advised Ukraine to destroy pathogens in health labs to prevent disease spread #biolabs #Ukraine
5,2,says it advised #Ukraine to destroy pathogens in health labs to prevent disease spread
5,3,#Exclusive: #WHO says it advised #Ukraine to destroy #pathogens in health #biolabs labs to prevent disease spread
6,1,Russia must be removed from the UN Security Council. #russiaisaterroriststate
6,2,ENOUGH! REMOVE RUSSIA FROM THE UN SECURITY COUNCIL NOW! #russiaisaterroriststate
6,3,👇🏼Remove #Russia from the UN Security Council #RussiaIsATerroristState
7,1,Again why hadn’t America gotten rid of all influence from #WEF #UN #NATO #WHO #IMF
7,2,#NATO 'Umbrella' organisation for [USAF] #UNNWO [United Nations - NWO] vis à vis its em-bedded overseas ground troops via European proxy collaborators! Both under the direct command of US Dept of Defence
7,3,Get the US out of the #UN and #NATO
8,1,"Commenting on the genocide in Bucha, Russia's permanent representative to the United Nations said that ""corpses lying on the streets of Bucha did not exist until Russian troops arrived."" #BuchaMassacre Source:"
8,2,#UN calls for #BuchaMassacre investigation.
8,3,WHERE ARE YOU????? #BuchaMassacre
9,1,"I just showed my support for UNICEF and the children of #ukraine. Check out UNICEF USA to learn what they are doing, and how you can help too."
9,2,"I just showed my support for UNICEF and the children in #Ukraine. Check out UNICEF USA to learn what they are doing, and how you can help too."
9,3,"This Sunday if you can, please donate what you can to help the children of #Ukraine I just showed my support for UNICEF and the children. Check out UNICEF USA to learn what they are doing, and how you can help too."
10,1,"China’s Permanent Representative to the #UN, Zhang Jun, welcomed the draft resolution to ease the Ukraine crisis, adding that “All nations should work to foster peace and stop escalating the conflict.” #RussiaUkraineWar #RussiaUkraineConflict #Russia #Ukraine #China"
10,2,#Latest China's Permanent Representative to the #UN Zhang Jun said the top priority is to ease the situation in #Ukraine on the ground and prevent it from escalating. #China calls on the int'l community to have a political settlement. #Ukraine #Russia
10,3,"“In his meeting w #Ukrainian FM , #Wang Yi said that President #Xi Jinping has pointed out that all countries deserve respect for their sovereignty and territorial integrity, the purposes and principles of the #UN Charter should be observed.”"
11,1,"The Office of the UN High Commissioner for Human Rights (OHCHR) has recorded 17,831 civilian casualties in Ukraine as of December 26--6,884 killed and 10,947 injured--since the beginning of Russia's invasion of Ukraine. #Russia #Ukraine #NewsUpdates"
11,2,"❗️Since the start of the full-scale Russian invasion on February 24, 2022, the Office of the UN High Commissioner for Human Rights has recorded 21,965 civilian casualties in #Ukraine, including 8,231 killed and 13,734 injured."
11,3,"More than 4,000 civilians killed in Ukraine : UN - #News"
12,1,#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert Be back later...
12,2,#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada Move It On Over via
