Topic,Count,Name,Representation,Representative_Docs
-1,123,-1_ukraine_world_amp_crsv,"['ukraine', 'world', 'amp', 'crsv', 'business', 'world vision', 'vision', 'news', 'caritas', 'crspl']","['😵 Lower Mainland Power failure in Burnaby near North of CASTLEWOOD CRS, East of PATTERSON AVE, South-West of GILPIN CRS. Customers affected: 17. Cause: Wind storm. #bchydro #britishcolumbia #canada #poweroutage', ""The UK's Presidency of the Security Council will focus on: ➡️The threat to global peace &amp; security posed by Russia’s invasion of #Ukraine ➡️Accountability for victims of conflict-related sexual violence #CRSV ➡️Delivering vaccines to people in conflict zones #VaccinEquity"", '😵 Lower Mainland Power failure in Burnaby near North-East of MAUREEN CRS, South of HASTINGS ST, West of DUTHIE AVE. Customers affected: 11. Cause: Planned work being done on our equipment. #bchydro #britishcolumbia #canada #poweroutage']"
0,248,0_caritas_ukraine_people_help,"['caritas', 'ukraine', 'people', 'help', 'war', 'support', 'aid', 'humanitarian', 'food', 'caritas ukraine']","[""We can be proud of our aid in #Ukraine since the beginning of the #war. Caritas fraternally joined its forces to help the two Caritas on the ground, and . The slides show the results of our aid. Please support Caritas' work:"", 'Caritas Ukraine is running ‘collective centres’ with beds, food, and washing facilities. Caritas SPES is helping children and families to reach safe locations. Caritas Poland, Caritas Romania, and Caritas Moldova are all supporting people who’ve fled #Ukraine.', 'As the war continues in #Ukraine, Caritas-Spes Ukraine of the Roman #CatholicChurch &amp; Caritas Ukraine of the Greek #Catholic #Church continue to provide #humanitarian aid to the people of Ukraine. Read more about it here:']"
1,162,1_canada_crs_entry_express,"['canada', 'crs', 'entry', 'express', 'pr', '2023', 'visa', 'visit', 'issued', 'ontario']","['Express Entry draw for November 9, 2022! IRCC held a new all-program draw TODAY. With a minimum CRS score of 494 points,4,750 Express Entry lucky candidates received invites to apply for permanent residency. #stayincanada #Canada #Immigration #PermanentResidency #ExpressEntry2022', 'Express Entry Draws Resume- All Program Draw - 5,500 candidates invited to apply for permanent residence, CRS Score cut off 507 #canadianimmigration #canada #pr #ExpressEntry', 'Canada invited 4,750 Express Entry candidates to apply for permanent residence on November 9, 2022. Candidates were invited if they had a CRS score of at least 494. Contact us: 7096396300 #Canada #VISA #SINP #immigration #immigrationconsultant #expressentry #nweupdates']"
2,133,2_north_bchydro britishcolumbia_bchydro_poweroutage,"['north', 'bchydro britishcolumbia', 'bchydro', 'poweroutage', 'canada poweroutage', 'britishcolumbia canada', 'britishcolumbia', 'cause', 'near', 'power']","['🤩 Power back on (2184486): Lower Mainland in North Vancouver, West Vancouver near South of NORMANBY CRS, West of RABBIT LN, North of EASTCOT RD, East of SOUTHBOROUGH DR. Cause: Planned work being done on our equipment. #bchydro #britishcolumbia #canada #poweroutage #poweron', '🤩 Power back on (2116148): Lower Mainland in Sechelt near North of KINGBIRD CRS, South of CORACLE DR, East of MASON RD, West of SECHELT INLET RD. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage #poweron', '🤩 Power back on (2150078): Lower Mainland in Vancouver near North-East of STAULO CRS, West of YUCULTA CRS, South of SEMANA CRS. Cause: Planned work being done on our equipment. #bchydro #britishcolumbia #canada #poweroutage #poweron']"
3,129,3_russia_ukraine_russian_putin,"['russia', 'ukraine', 'russian', 'putin', 'biden', 'transform', 'transform ukraine', 'ukrainewar', 'war', 'military']","['#Ukraine pocking #Putin for #NuclearWar.', 'Is Vladimir Putin an embodiment of Russian Character? #Europe #friendly #pashtoon #putinism #Russia #russiancharacter #vindictive #vladimirputin #Putin', 'Is Vladimir Putin an embodiment of Russian Character? #Europe, #friendly, #pashtoon, #putinism, #Russia, #russiancharacter, #vindictive, #vladimirputin, #Putin']"
4,67,4_crsv_violence_sexual_sexual violence,"['crsv', 'violence', 'sexual', 'sexual violence', 'women', 'amp', 'survivors', 'ukraine', 'conflict', 'related']","[""Last Saturday, leading #UN agencies, women's rights organizations, and service providers for survivors of war-related sexual violence discussed the challenges and successes in providing comprehensive support to survivors of #CRSV in #Ukraine"", '💬Highlighting the use of rape as a weapon of war in #Ukraine, writes on ’s role in helping survivors of conflict-related sexual violence (#CRSV) in accessing reparations.', 'Useful advice from #Ukraine on what to do and not when meeting survivors of conflict-related sexual violence #CRSV #EndGBV #SurvivorFocus']"
5,61,5_vision_world vision_world_ukraine,"['vision', 'world vision', 'world', 'ukraine', 'children', 'romania', 'refugees', 'amp', 'child', 'border']","['NEWS: World Vision CEO is due to land in Romania late tonight to support people fleeing #Ukraine and shine a light on the refugee crisis.', 'NEWS: #Ukraine refugee crisis could become worst since WWII - World Vision launches emergency appeal', 'A nightmare #Ukraine 😢Donatiins to World Vision getting through 👍🏻']"
6,59,6_poweroutage lower_mainland power_power failure_customers,"['poweroutage lower', 'mainland power', 'power failure', 'customers', 'customers affected', 'failure', 'affected', 'lower mainland', 'mainland', 'lower']","['😵 Lower Mainland Power failure in North Vancouver near North of QUEENS RD, East of EDGEMONT BLV, South of ARLINGTON CRS, West of COLWOOD DR. Customers affected: 51. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage', '😵 Lower Mainland Power failure in Langley near 7800 block 227TH CRS. Customers affected: 1. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage', '😵 Lower Mainland Power failure in Langley near 7700 block 227TH CRS. Customers affected: 1. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage']"
7,42,7_mariupol_caritas_killed_attack,"['mariupol', 'caritas', 'killed', 'attack', 'tank', 'workers', 'members', 'office', 'people', 'condolences']","['InsecurityInsig: RT : We received bad news: our Caritas office in #Mariupol was shot from a tank and people were there at the time. Seven people were killed, including two women staff members of . expresses its co…', '""We received bad news: our Caritas office in #Mariupol was shot from a tank and people were there at the time. Seven people were killed, including two women staff members of . expresses its condolences to the parents of the innocent victims.""', 'We received bad news: our Caritas office in #Mariupol was shot from a tank and people were there at the time. Seven people were killed, including two women staff members of . expresses its condolences to the parents of the innocent victims.']"
8,41,8_vi_failure_power failure_customers,"['vi', 'failure', 'power failure', 'customers', 'customers affected', 'north', 'affected', 'north vi', 'rd', 'bchydro britishcolumbia']","['😵 South VI Power failure (Galiano Island) near 100 block ST ANDREWS CRS. Customers affected: 1. Cause: Snow storm. #bchydro #britishcolumbia #canada #poweroutage', '😵 North VI Power failure in Nanaimo near North of CEDAR HEIGHTS CRS, South of BERRY POINT RD. Customers affected: 2317. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage', '😵 South VI Power failure in Victoria near 300 block WATERFRONT CRS. Customers affected: 1. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage']"
9,37,9_crsv_survivors_amp_reparations,"['crsv', 'survivors', 'amp', 'reparations', 'ukraine', 'response crsv', 'gsf', 'crsv survivors', 'survivors crsv', '2022']","[""speaking to the on 3 May 2022 about the 's response to #CRSV early-warning signals and allegations in #Ukraine 🇺🇦🇺🇳"", ""🚨GSF &amp; its partners call on #Ukraine to: ⚠️Pass a presidential decree that recognises #CRSV ⚠️ Establish a comprehensive &amp; urgent #Reparations programme, ⚠️ Create a victims' registry &amp; a reparations fund. The time to act is NOW‼️ Learn more➡️"", 'Fantastic #HRC50 event for the launch of our study on #Reparations for #CRSV survivors in #Ukraine! Thank you , EUCCI, Blue Bird and Truth Hounds for your inspiring work #reparationsnow']"
10,32,10_day_crs_opening_collection,"['day', 'crs', 'opening', 'collection', '200', 'office', 'highest', 'tamil', 'amp', 'days']","['#Vikram takes a flying start at the TN Box office.. Day 1 Gross - ₹ 23.50 Crs.. Career Best opening for #Ulaganayagan in TN.. 🔥', 'Top 5 Opening Day Gross Collection at Kerala Box Office - #Odiyan - ₹7.22 Crs. #Marakkar - ₹6.60 Crs. #Lucifer - ₹6.3 Crs. #Sarkar - ₹6.2 Crs. #BheeshmaParvam - ₹5.9 Crs. As per the current trends #Beast &amp; #KGFChapter2 will easily find a place in Top 5 💥💥💥', 'Earth shattering OPENING for #Vikram all over #Kerala... OPENING DAY GROSS COLLECTION will be 5+ Crs - 101% sure 👏🔥 First time a Non-Vijay Tamil movie crossing 5 Crs+ gross mark in a single day from Kerala 🔥']"
