topic,rank,doc
-1,1,"😵 Lower Mainland Power failure in Burnaby near North of CASTLEWOOD CRS, East of PATTERSON AVE, South-West of GILPIN CRS. Customers affected: 17. Cause: Wind storm. #bchydro #britishcolumbia #canada #poweroutage"
-1,2,The UK's Presidency of the Security Council will focus on: ➡️The threat to global peace &amp; security posed by Russia’s invasion of #Ukraine ➡️Accountability for victims of conflict-related sexual violence #CRSV ➡️Delivering vaccines to people in conflict zones #VaccinEquity
-1,3,"😵 Lower Mainland Power failure in Burnaby near North-East of MAUREEN CRS, South of HASTINGS ST, West of DUTHIE AVE. Customers affected: 11. Cause: Planned work being done on our equipment. #bchydro #britishcolumbia #canada #poweroutage"
0,1,"We can be proud of our aid in #Ukraine since the beginning of the #war. Caritas fraternally joined its forces to help the two Caritas on the ground, and . The slides show the results of our aid. Please support Caritas' work:"
0,2,"Caritas Ukraine is running ‘collective centres’ with beds, food, and washing facilities. Caritas SPES is helping children and families to reach safe locations. Caritas Poland, Caritas Romania, and Caritas Moldova are all supporting people who’ve fled #Ukraine."
0,3,"As the war continues in #Ukraine, Caritas-Spes Ukraine of the Roman #CatholicChurch &amp; Caritas Ukraine of the Greek #Catholic #Church continue to provide #humanitarian aid to the people of Ukraine. Read more about it here:"
1,1,"Express Entry draw for November 9, 2022! IRCC held a new all-program draw TODAY. With a minimum CRS score of 494 points,4,750 Express Entry lucky candidates received invites to apply for permanent residency. #stayincanada #Canada #Immigration #PermanentResidency #ExpressEntry2022"
1,2,"Express Entry Draws Resume- All Program Draw - 5,500 candidates invited to apply for permanent residence, CRS Score cut off 507 #canadianimmigration #canada #pr #ExpressEntry"
1,3,"Canada invited 4,750 Express Entry candidates to apply for permanent residence on November 9, 2022. Candidates were invited if they had a CRS score of at least 494. Contact us: 7096396300 #Canada #VISA #SINP #immigration #immigrationconsultant #expressentry #nweupdates"
2,1,"🤩 Power back on (2184486): Lower Mainland in North Vancouver, West Vancouver near South of NORMANBY CRS, West of RABBIT LN, North of EASTCOT RD, East of SOUTHBOROUGH DR. Cause: Planned work being done on our equipment. #bchydro #britishcolumbia #canada #poweroutage #poweron"
2,2,"🤩 Power back on (2116148): Lower Mainland in Sechelt near North of KINGBIRD CRS, South of CORACLE DR, East of MASON RD, West of SECHELT INLET RD. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage #poweron"
2,3,"🤩 Power back on (2150078): Lower Mainland in Vancouver near North-East of STAULO CRS, West of YUCULTA CRS, South of SEMANA CRS. Cause: Planned work being done on our equipment. #bchydro #britishcolumbia #canada #poweroutage #poweron"
3,1,#Ukraine pocking #Putin for #NuclearWar.
3,2,Is Vladimir Putin an embodiment of Russian Character? #Europe #friendly #pashtoon #putinism #Russia #russiancharacter #vindictive #vladimirputin #Putin
3,3,"Is Vladimir Putin an embodiment of Russian Character? #Europe, #friendly, #pashtoon, #putinism, #Russia, #russiancharacter, #vindictive, #vladimirputin, #Putin"
4,1,"Last Saturday, leading #UN agencies, women's rights organizations, and service providers for survivors of war-related sexual violence discussed the challenges and successes in providing comprehensive support to survivors of #CRSV in #Ukraine"
4,2,"💬Highlighting the use of rape as a weapon of war in #Ukraine, writes on ’s role in helping survivors of conflict-related sexual violence (#CRSV) in accessing reparations."
4,3,Useful advice from #Ukraine on what to do and not when meeting survivors of conflict-related sexual violence #CRSV #EndGBV #SurvivorFocus
5,1,NEWS: World Vision CEO is due to land in Romania late tonight to support people fleeing #Ukraine and shine a light on the refugee crisis.
5,2,NEWS: #Ukraine refugee crisis could become worst since WWII - World Vision launches emergency appeal
5,3,A nightmare #Ukraine 😢Donatiins to World Vision getting through 👍🏻
6,1,"😵 Lower Mainland Power failure in North Vancouver near North of QUEENS RD, East of EDGEMONT BLV, South of ARLINGTON CRS, West of COLWOOD DR. Customers affected: 51. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage"
6,2,😵 Lower Mainland Power failure in Langley near 7800 block 227TH CRS. Customers affected: 1. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage
6,3,😵 Lower Mainland Power failure in Langley near 7700 block 227TH CRS. Customers affected: 1. Cause: Under investigation. #bchydro #britishcolumbia #canada #poweroutage
7,1,"InsecurityInsig: RT : We received bad news: our Caritas office in #Mariupol was shot from a tank and people were there at the time. Seven people were killed, including two women staff members of . expresses its co…"
7,2,"""We received bad news: our Caritas office in #Mariupol was shot from a tank and people were there at the time. Seven people were killed, including two women staff members of . expresses its condolences to the parents of the innocent victims."""
7,3,"We received bad news: our Caritas office in #Mariupol was shot from a tank and people were there at the time. Seven people were killed, including two women staff members of . expresses its condolences to the parents of the innocent victims."
8,1,😵 South VI Power failure (Galiano Island) near 100 block ST ANDREWS CRS. Customers affected: 1. Cause: Snow storm. #bchydro #britishcolumbia #canada #poweroutage
