Topic,Words,Frequency,Timestamp
-1,"ukraine, world, amp, business, news",39,2022-01-02 11:21:02.100000+00:00
0,"caritas, ukraine, people, help, war",98,2022-01-02 11:21:02.100000+00:00
1,"canada, crs, entry, express, pr",16,2022-01-02 11:21:02.100000+00:00
2,"north, bchydro, poweroutage, canada poweroutage, britishcolumbia canada",43,2022-01-02 11:21:02.100000+00:00
3,"ukraine, russia, russian, putin, transform",46,2022-01-02 11:21:02.100000+00:00
4,"crsv, violence, sexual, sexual violence, women",25,2022-01-02 11:21:02.100000+00:00
5,"vision, world vision, world, ukraine, children",18,2022-01-02 11:21:02.100000+00:00
6,"poweroutage lower, mainland power, customers affected, power failure, customers",28,2022-01-02 11:21:02.100000+00:00
7,"workers, mariupol, difference, caritas workers, escaping",3,2022-01-02 11:21:02.100000+00:00
8,"vi, failure, power failure, customers affected, customers",10,2022-01-02 11:21:02.100000+00:00
9,"crsv, amp, survivors, gsf, reparations",17,2022-01-02 11:21:02.100000+00:00
10,"day, crs, collection, opening, office",21,2022-01-02 11:21:02.100000+00:00
11,"illegal, legal, truth, true, share",10,2022-01-02 11:21:02.100000+00:00
12,"purse, samaritan, samaritan purse, ukraine samaritan, ukraine",6,2022-01-02 11:21:02.100000+00:00
13,"news, crs 25, 25, space, launch",2,2022-01-02 11:21:02.100000+00:00
14,"ppl, amp, india, crimes, usa",5,2022-01-02 11:21:02.100000+00:00
-1,"ukraine, world, ukrainian, crspl, india",36,2022-05-23 17:26:00+00:00
0,"caritas, ukraine, people, help, war",71,2022-05-23 17:26:00+00:00
1,"canada, crs, entry, express, pr",21,2022-05-23 17:26:00+00:00
2,"north, bchydro britishcolumbia, bchydro, britishcolumbia canada, canada poweroutage",39,2022-05-23 17:26:00+00:00
3,"russia, ukraine, putin, russian, ukrainewar",48,2022-05-23 17:26:00+00:00
4,"crsv, violence, sexual, sexual violence, amp",21,2022-05-23 17:26:00+00:00
5,"vision, world vision, world, ukraine, children",19,2022-05-23 17:26:00+00:00
6,"poweroutage lower, mainland power, power failure, customers, customers affected",17,2022-05-23 17:26:00+00:00
7,"health, mariupol, confirmed, facilities, workers ukraine",1,2022-05-23 17:26:00+00:00
8,"vi, north, failure, customers affected, power failure",8,2022-05-23 17:26:00+00:00
9,"crsv, reparations, survivors, amp, ukraine",7,2022-05-23 17:26:00+00:00
10,"200, crs, opening, collection, ts",7,2022-05-23 17:26:00+00:00
11,"illegal, legal, truth, true, share",12,2022-05-23 17:26:00+00:00
12,"purse, samaritan, samaritan purse, field, hospital",10,2022-05-23 17:26:00+00:00
13,"news, crs 25, 25, crsp, launch",6,2022-05-23 17:26:00+00:00
14,"ppl, amp, systems, india, usa",9,2022-05-23 17:26:00+00:00
