topic,rank,doc
-1,1,"First of all, I would like to thank all your staff who donated to the #RedCross and fulfilled this sacred duty. How is the situation of the civilians who had to cross into #Russia, can they freely go to another country from there? #Mariupol #Ukraine️ (1/1)+"
-1,2,The Principality Of Woodlandia Is Gathering Donations With The Canadian Red Cross For The Ukraine Humanitarian Crisis Appeal. You Can help! Every Donation Matters! #micronations #DonateUkraine #RedCross #Ukraine #SupportUkraine #war #HumanitarianAID #art
-1,3,"""Olenivka is a new Auschwitz"", ""Red Cross, hear us!"", ""Free our heroes"" With such slogans, the relatives of Azovstal defenders once again called on the International Committee of the Red Cross (ICRC) to gain access to the site of the tragedy in Olenivka... #RussianWarCrimes"
0,1,"#Putin attacks #RedCross building. Good! If you don't know what the Red Cross is, you're seriously behind. #redcrosswarcrimes they are criminals."
0,2,"Why #RedCross is so inefficient in Ukraine? Just look at these two smiling men: WAR CRIMINAL #Lavrov and the president of the Red Cross, Peter Maurer. They're discussing opening a new Red Cross office in Rostov where Russia is forcefully deporting (!!!) Ukrainians! #UkraineWar"
0,3,"Red Cross chief Peter Maurer and Sergey Lavrov in Moscow, #Russia"
1,1,Rednex is back bitches! #MDA #Eurovision
1,2,CARNAVALLLLLLLL #MDA #Eurovision
1,3,The CROWD #MDA #Eurovision
2,1,"#PhotoOfTheWeek: As the armed conflict in #Ukraine continues, over 1 million people have fled and are seeking refuge in neighbouring countries. Red Cross teams are providing necessities like food, water, shelter, and SIM cards to help people stay in touch with loved ones."
2,2,"Hungarian Red Cross teams are working with local volunteers around the clock at several humanitarian service points along the #Ukraine border, helping thousands of people each day with food, water, shelter and medical assistance. Meet some of them in this🧵 👇"
2,3,"ifrc RT : Hungarian Red Cross teams are working with local volunteers around the clock at several humanitarian service points along the #Ukraine border, helping thousands of people each day with food, water, shelter and medical assistance. Meet some of them in t…"
3,1,"Under the sign of the ""red cross"" Russian armored vehicles move with weapons, which is unacceptable for transport with a similar designation. The Russian occupiers use the ""red cross"" to cover their battle groups. 🇺🇦 #우크라이나 #Ukraine #Україна #StopRussia"
3,2,"‼️Russian armored vehicles with weapons unacceptable for transport with a similar designation are moving under the sign of the ""red cross"" The Russian occupiers use the ""red cross"" to cover their battle groups.#Ukraine️ #StopPutin #UkraineWar #RussianWarCrimes"
3,3,"Under the sign of the Red Cross, Russian armored vehicles with weapons. The Russian occupiers are using the Red Cross to cover their battle groups #Warcrimes #Redcross #Russia #BanPutinPropaganda"
4,1,"Millions in #Tigray are facing a man made-famine. Hospitals have run out of medical supplies due to the de facto blockade. The #IC is , unfortunately, failing to #EndTigraySiege. #EndTigrayFamine"
