Topic,Words,Frequency,Timestamp
-1,"ukraine, red, red cross, cross, mariupol",2076,2022-02-28 12:44:40.560000+00:00
0,"redcross, putin, cross, red cross, red",61,2022-02-28 12:44:40.560000+00:00
1,"eurovision, mda, mda eurovision, eurovision mda, love",108,2022-02-28 12:44:40.560000+00:00
2,"teams, volunteers, cross teams, countries, people",75,2022-02-28 12:44:40.560000+00:00
3,"vehicles, transport, armored, using red, weapons",71,2022-02-28 12:44:40.560000+00:00
4,"tigray, endtigraysiege, famine, man famine, endtigrayfamine",26,2022-02-28 12:44:40.560000+00:00
6,"music, bandcamp, bandcampfriday, song, proceeds",62,2022-02-28 12:44:40.560000+00:00
7,"azovstal, civilians, evacuated, civilians azovstal, evacuated azovstal",64,2022-02-28 12:44:40.560000+00:00
8,"english subtitles, subtitles, english, azov regiment, regiment",4,2022-02-28 12:44:40.560000+00:00
9,"humanitarian, work, conflict, response, humanitarian situation",39,2022-02-28 12:44:40.560000+00:00
10,"icrc, ukraine icrc, icrc ukraine, respect, war icrc",34,2022-02-28 12:44:40.560000+00:00
11,"buses, zaporizhzhia, convoy, private, convoy buses",59,2022-02-28 12:44:40.560000+00:00
12,"nft, nfts, proceeds, collection, donated",55,2022-02-28 12:44:40.560000+00:00
13,"geneva, convention, geneva convention, pows, treated",14,2022-02-28 12:44:40.560000+00:00
14,"security reasons, reasons, ukraine security, meeting, security",4,2022-02-28 12:44:40.560000+00:00
15,"save, mariupol azovstal, azovstal, save defenders, defenders mariupol",53,2022-02-28 12:44:40.560000+00:00
16,"conflict ukraine, schools, destruction, conflict, infrastructure",12,2022-02-28 12:44:40.560000+00:00
17,"canadian, 000, canadian red, million, donations",47,2022-02-28 12:44:40.560000+00:00
19,"soldiers, help evacuate, wounded, evacuate, savemariupol",45,2022-02-28 12:44:40.560000+00:00
20,"kherson, stranded, students stranded, africansinukraine, students",6,2022-02-28 12:44:40.560000+00:00
21,"ucrania rusia, rusia, ucrania, dad, rusia russia",4,2022-02-28 12:44:40.560000+00:00
22,"ukrainian soldiers, soldiers, help evacuate, evacuate soldiers, azovstal plant",44,2022-02-28 12:44:40.560000+00:00
23,"fact check, fact, know, ukraine know, usa canada",12,2022-02-28 12:44:40.560000+00:00
24,"rus, pows, prisoners, war crimes, pows ukraine",5,2022-02-28 12:44:40.560000+00:00
25,"art, auction, donated red, donated, profit",38,2022-02-28 12:44:40.560000+00:00
26,"ethiopia, tigray, endtigraysiege, ethiopian, ethiopia amp",17,2022-02-28 12:44:40.560000+00:00
27,"sport, genocide, away ukraine, sports, stop fucking",4,2022-02-28 12:44:40.560000+00:00
29,"building, cross building, bombed, marked red, hit",36,2022-02-28 12:44:40.560000+00:00
30,"evacuation, mariupol volnovakha, mariupol, volnovakha, evacuation civilians",38,2022-02-28 12:44:40.560000+00:00
31,"mother, filtration camp, child, filtration, camp",23,2022-02-28 12:44:40.560000+00:00
32,"deportation, deported, children, forced, ukrainians",16,2022-02-28 12:44:40.560000+00:00
33,"says team, team, cross says, team held, says",37,2022-02-28 12:44:40.560000+00:00
34,"mined, route, evacuation route, route mariupol, mariupol mined",35,2022-02-28 12:44:40.560000+00:00
35,"yemen, congress, usa, prices, unitedstates",6,2022-02-28 12:44:40.560000+00:00
36,"standwithukraine, standwithukraine standupforukraine, stoprussia, stopputinnow, standupforukraine",22,2022-02-28 12:44:40.560000+00:00
37,"kits, hygiene, delivered, tons, romanian",30,2022-02-28 12:44:40.560000+00:00
38,"raised, british red, british, appeal, crisis appeal",32,2022-02-28 12:44:40.560000+00:00
39,"azovstal pows, citizen, azov captured, saveazovstaldefenders red, yell",4,2022-02-28 12:44:40.560000+00:00
40,"russianwarcrimes, did let, aggressors, sponsored, let happen",4,2022-02-28 12:44:40.560000+00:00
41,"ukrayinska pravda, ukrayinska, force russia, luhansk regions, russia allow",2,2022-02-28 12:44:40.560000+00:00
42,"donate icrc, icrc, donate, donations, scam",14,2022-02-28 12:44:40.560000+00:00
43,"besieged, besieged port, city, port, convoy",33,2022-02-28 12:44:40.560000+00:00
44,"batch, cross society, china, society, society china",31,2022-02-28 12:44:40.560000+00:00
45,"buchamassacre, bucha, genocide, hate, committed",28,2022-02-28 12:44:40.560000+00:00
46,"crime according, according geneva, unsecuritycouncil, stoprussia stopputin, putinisawarcriminal",1,2022-02-28 12:44:40.560000+00:00
47,"attempts, mariupol, vereshchuk, occupying, international organizations",23,2022-02-28 12:44:40.560000+00:00
48,"savemariupol, saveazovstal, save, azovstal, heroes",25,2022-02-28 12:44:40.560000+00:00
49,"kids, siret, ukraine kids, aid team, faces",2,2022-02-28 12:44:40.560000+00:00
50,"nuclear, nuclear power, power, power plants, plants",4,2022-02-28 12:44:40.560000+00:00
51,"moldova, eurovision, mda, mda eurovision, moldova mda",28,2022-02-28 12:44:40.560000+00:00
52,"video, circulating, film, tortures, saw video",7,2022-02-28 12:44:40.560000+00:00
53,"donate, urcs, ukraine donate, consider, donating",23,2022-02-28 12:44:40.560000+00:00
54,"china, foreign minister, china red, cross provide, minister",24,2022-02-28 12:44:40.560000+00:00
55,"red crescent, crescent, gaza, crescent society, today news",2,2022-02-28 12:44:40.560000+00:00
56,"istandwithukraine, amp istandwithukraine, saveukraine amp, istandwithukraine profits, special design",26,2022-02-28 12:44:40.560000+00:00
57,"steel plant, steel, plant, trapped, citizens",25,2022-02-28 12:44:40.560000+00:00
58,"worries, supporthr6600 allowaccesstotigray, ppe, ayder, covid",2,2022-02-28 12:44:40.560000+00:00
59,"branch uzhhorod, unofficial, version, cross branch, mentalhealth",14,2022-02-28 12:44:40.560000+00:00
60,"diaspora, icrc, civilians mariupol, evacuation civilians, safe passage",23,2022-02-28 12:44:40.560000+00:00
61,"sunflower, sunflowers, sales, seeds, sunflowersforukraine",17,2022-02-28 12:44:40.560000+00:00
62,"emblem, use, vehicles, humanitarian mission, influential",21,2022-02-28 12:44:40.560000+00:00
63,"corridors, creation, cross urgently, urgently assist, ukraine asks",20,2022-02-28 12:44:40.560000+00:00
64,"sumy, indian, indian embassy, embassy, escorting",23,2022-02-28 12:44:40.560000+00:00
65,"satellite, imagery, mda, satellite imagery, canada",16,2022-02-28 12:44:40.560000+00:00
66,"genocideofukrainians, busy, russianwarcrimesinukraine, ukraine genocideofukrainians, single word",3,2022-02-28 12:44:40.560000+00:00
67,"cross heads, heads mariupol, heads, mariupol russia, focus",20,2022-02-28 12:44:40.560000+00:00
68,"solidarity, stand, slovenia, stand solidarity, standwithukraine",18,2022-02-28 12:44:40.560000+00:00
69,"help mariupol, mariupol, standwithukraine mariupol, medicines, conditions",13,2022-02-28 12:44:40.560000+00:00
70,"children, given safe, refugee children, haiti, greens",2,2022-02-28 12:44:40.560000+00:00
71,"genevaconventions, rules war, rules, conventions, geneva conventions",14,2022-02-28 12:44:40.560000+00:00
72,"capability, protect victims, victims conflicts, 1991, feb 24",2,2022-02-28 12:44:40.560000+00:00
73,"boxes, bunker, chechen, nationalists, currency",19,2022-02-28 12:44:40.560000+00:00
74,"zelensky, zelensky bfmtv, wounded ukraine, ukraine freeukraine, putin needs",1,2022-02-28 12:44:40.560000+00:00
75,"humanitarian corridors, corridors, start mission, mission ukraine, corridors civilians",18,2022-02-28 12:44:40.560000+00:00
76,"mines, evacuation route, route, route offered, mariupol mines",18,2022-02-28 12:44:40.560000+00:00
77,"candles, joe, soap, flag, ukrainian flag",10,2022-02-28 12:44:40.560000+00:00
