Topic,Words,Frequency,Timestamp
-1,"nato, aid, peace, organization, activities",5,2022-01-02 23:08:32.580000+00:00
0,"red, red cross, cross, russian red, amp",11,2022-01-02 23:08:32.580000+00:00
1,"rossotrudnichestvo, children, agency, russians, rights",5,2022-01-02 23:08:32.580000+00:00
-1,"participants, aid, humanitarian aid, rossotrudnichestvo, local",2,2022-05-11 17:22:24+00:00
0,"cross, red cross, red, russian red, organization",3,2022-05-11 17:22:24+00:00
1,"rossotrudnichestvo, paris, ukrainewar, people, agency",5,2022-05-11 17:22:24+00:00
0,"red, red cross, cross, russian red, amp",4,2022-09-16 20:13:48+00:00
1,"rossotrudnichestvo, russiaisaterroriststate, russians, agency, people",3,2022-09-16 20:13:48+00:00
-1,"aid, supplies, medical, second, news",5,2023-01-22 23:05:12+00:00
1,"rossotrudnichestvo, aggression, agency, military, russians",3,2023-01-22 23:05:12+00:00
-1,"aid, russian red, cross, red cross, red",1,2023-05-31 01:56:36+00:00
0,"cross, red cross, red, russian red, amp",1,2023-05-31 01:56:36+00:00
1,"rossotrudnichestvo, russians, agency, people, paris",1,2023-05-31 01:56:36+00:00
