Topic,Words,Frequency,Timestamp
-1,"russia, ukraine, international, putin, amnesty",1449,2022-01-02 07:33:53.160000+00:00
0,"peace, nature, globalcrisis, democracy, climatecrisis",175,2022-01-02 07:33:53.160000+00:00
1,"endtigraysiege, tigray, food, dying, ayder",81,2022-01-02 07:33:53.160000+00:00
2,"cases, rights watch, watch, documented, war crimes",162,2022-01-02 07:33:53.160000+00:00
3,"msf, doctors borders, medical, teams, doctors",99,2022-01-02 07:33:53.160000+00:00
4,"tigray, world, ukraine tigray, attention, talking",51,2022-01-02 07:33:53.160000+00:00
5,"israel, palestine, israeli, gaza, palestinians",33,2022-01-02 07:33:53.160000+00:00
6,"bucha, buchamassacre, bucha buchamassacre, genocideofukrainians, bucha ukraine",157,2022-01-02 07:33:53.160000+00:00
7,"eritrean, eritrea, eritreaoutoftigray, ethiopian, tigray",28,2022-01-02 07:33:53.160000+00:00
8,"amnesty international, amnesty, international, russiaisaterroriststate, russiaisaterroriststate amnesty",69,2022-01-02 07:33:53.160000+00:00
9,"azovstal, mariupol, azov, save, savemariupol",26,2022-01-02 07:33:53.160000+00:00
10,"rsf, journalists, reporters, reporters borders, media",81,2022-01-02 07:33:53.160000+00:00
11,"zelensky, zelenskyy, aggressor victim, shift, responsibility aggressor",37,2022-01-02 07:33:53.160000+00:00
12,"amnesty, amnesty international, report, international, international report",30,2022-01-02 07:33:53.160000+00:00
13,"rallies, tokayev, evaluation, ethical, collective west",8,2022-01-02 07:33:53.160000+00:00
14,"cluster, munitions, cluster munitions, use, munition",57,2022-01-02 07:33:53.160000+00:00
15,"russiaisaterroriststate, russiaisaterrorisstate, russiaisaterroriststate russianwarcrimes, russiaisaterroriststate russiaisanazistate, russiaisanazistate",26,2022-01-02 07:33:53.160000+00:00
16,"rusia russia, ucrania rusia, crisis ucrania, rusia, ucrania",41,2022-01-02 07:33:53.160000+00:00
17,"spy investing, investing, qqq spy, coin, aapl",31,2022-01-02 07:33:53.160000+00:00
18,"mariupol, city, water, trapped, desperate need",27,2022-01-02 07:33:53.160000+00:00
19,"china, taiwan, pelosi, ccp, taiwan pelosi",50,2022-01-02 07:33:53.160000+00:00
20,"ethiopia, ethiopian, blockade, humanitarian, tigray",18,2022-01-02 07:33:53.160000+00:00
21,"forcibly, forcible, filtration, ukrainian civilians, transferring",56,2022-01-02 07:33:53.160000+00:00
22,"eritrea, justice4tigray eritreaoutoftigray, stands ukraine, years human, invader",9,2022-01-02 07:33:53.160000+00:00
23,"schools, bases, schools hospitals, residential areas, including schools",44,2022-01-02 07:33:53.160000+00:00
24,"syria, assad, turkey, syrians, syria russia",15,2022-01-02 07:33:53.160000+00:00
25,"war ukraine, ways, thats, europe, taking",23,2022-01-02 07:33:53.160000+00:00
26,"mdma, pills, people arrested, ecstasy, shrooms",9,2022-01-02 07:33:53.160000+00:00
27,"pakistan, india, kashmir, indian, jobs",21,2022-01-02 07:33:53.160000+00:00
28,"landmines, mines, antipersonnel, banned, use",16,2022-01-02 07:33:53.160000+00:00
29,"ai, robots, trading, amzn, nvda",13,2022-01-02 07:33:53.160000+00:00
30,"putin, ukraine china, china india, genocidal putin, india",28,2022-01-02 07:33:53.160000+00:00
31,"btr, btr mdm, mdm, apc, captured",20,2022-01-02 07:33:53.160000+00:00
32,"vieira, alex vieira, alex, crash, investing",15,2022-01-02 07:33:53.160000+00:00
33,"tesla, nato adbe, adbe tsla, elon, reddit",23,2022-01-02 07:33:53.160000+00:00
34,"microsoft, microsoft msft, business, msft microsoft, msft",22,2022-01-02 07:33:53.160000+00:00
35,"justice, endless, genocides, suffer, tigraygenocide",14,2022-01-02 07:33:53.160000+00:00
36,"msfs, msfs2020, airport, usa america, scenery",17,2022-01-02 07:33:53.160000+00:00
37,"russianwarcrimes, documented russianwarcrimes, putinwarcrimes, putinwarcrimes russianwarcrimes, justification",17,2022-01-02 07:33:53.160000+00:00
38,"azerbaijan, armenia, armenians, artsakh, road",15,2022-01-02 07:33:53.160000+00:00
39,"genocide, militia amp, amp fano, ic respond, amp genocide",11,2022-01-02 07:33:53.160000+00:00
40,"nato, finland, join, nato putin, roku rblx",16,2022-01-02 07:33:53.160000+00:00
41,"warren buffett, warren, buffett, okta, usa aapl",15,2022-01-02 07:33:53.160000+00:00
42,"amhara, ethiopian, security forces, amhara security, tigrayans",6,2022-01-02 07:33:53.160000+00:00
43,"migrants, fleeing, asylum, asylum seekers, seekers",26,2022-01-02 07:33:53.160000+00:00
44,"yemen, congress, unitedstates, saudi, usa unitedstates",22,2022-01-02 07:33:53.160000+00:00
45,"bakhmut, canada germany, ukraine bakhmut, germany america, america ukraine",6,2022-01-02 07:33:53.160000+00:00
46,"council, security council, rights council, security, veto",8,2022-01-02 07:33:53.160000+00:00
47,"index, worldpressfreedomday, press, press freedom, reporters",29,2022-01-02 07:33:53.160000+00:00
48,"putinswar rashism, rashism warcrime, rashism, ukraine putinswar, putinswar",3,2022-01-02 07:33:53.160000+00:00
49,"slavaukraini, slavaukraïni, remarkable, defeat, thier",14,2022-01-02 07:33:53.160000+00:00
50,"stop hypocrisy, eu, hypocrisy, whatshappeninginuganda, citizens stop",9,2022-01-02 07:33:53.160000+00:00
51,"googl tsla, nq, es, appl, nflx googl",11,2022-01-02 07:33:53.160000+00:00
52,"canada, cdnpoli, canceled, contracts, provinces",11,2022-01-02 07:33:53.160000+00:00
53,"african republic, central african, mali, mercenaries, african",21,2022-01-02 07:33:53.160000+00:00
54,"tsla nio, goog googl, jnj, hkd, unh",24,2022-01-02 07:33:53.160000+00:00
56,"office, head, ukraine employment, tsla russia, amzn spy",3,2022-01-02 07:33:53.160000+00:00
57,"nrc, norwegian, refugee council, norwegian refugee, refugee",9,2022-01-02 07:33:53.160000+00:00
58,"tplf leaders, tigrian, amhara, door, leaders",3,2022-01-02 07:33:53.160000+00:00
59,"women, gender, day, founding, rights iraq",4,2022-01-02 07:33:53.160000+00:00
60,"abyi, erupted, tigrayans killed, sexual, half million",4,2022-01-02 07:33:53.160000+00:00
61,"fleeing, foreigners, trains, students, unequal",23,2022-01-02 07:33:53.160000+00:00
